Time,Name,Distance,Duration,Beats,Instruments
00:00,Flatbush Ave.-Brooklyn College,800.4648042775437,00:13,20,Piano 1 Piano 2
00:13,Newkirk Ave.,571.2473218780051,00:09,14,Piano 1 Piano 2 Piano 3
00:22,Beverly Rd.,636.7779261618978,00:10,16,Piano 1 Piano 2
00:32,Church Ave.,717.3909383546492,00:12,18,Piano 1 Piano 2
00:44,Winthrop St.,674.3852994796341,00:11,17,Piano 1 Piano 2 Piano 3
00:55,Sterling St.,547.2600395766541,00:09,14,Piano 1 Piano 2
01:04,President St.,674.8304167476655,00:11,17,Piano 1 Piano 2
01:15,Franklin Ave.,566.1535069123744,00:09,14,Piano 1 Piano 2
01:24,Eastern Parkway-Brooklyn Museum,653.1586169611203,00:10,16,Piano 1 Piano 2 Piano 3 Piano 4
01:34,Grand Army Plaza,703.7617307460503,00:12,18,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
01:46,Bergen St.,474.0163295111757,00:08,12,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6
01:54,Atlantic Ave.-Barclays Center,487.3383556112953,00:08,12,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6
02:02,Nevins St.,527.6045042699084,00:08,13,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6
02:10,Hoyt St.,446.61672554275697,00:07,11,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5
02:17,Borough Hall,619.7082928436607,00:10,15,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6
02:27,Clark St.,1714.2645333025814,00:28,43,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
02:55,Wall St.,401.2513467323622,00:06,10,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
03:01,Fulton St.,222.6032657170789,00:04,6,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
03:05,Park Place,335.83561073594785,00:05,8,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
03:10,Chambers St.,2583.555129852785,00:43,65,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
03:53,14 St.-7 Ave.,1686.6834137188227,00:28,42,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
04:21,34 St.-Penn Station,479.83010820929616,00:08,12,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
04:29,Times Square-42 St.,2792.0681731806335,00:46,70,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
05:15,72 St.,1877.6577881130181,00:31,47,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5 Piano 6 Clarinet 1
05:46,96 St.,1760.0536151556262,00:29,44,Piano 1 Piano 2 Piano 3 Piano 4 Piano 5
06:15,Central Park North (110 St.),407.2013117266865,00:06,10,Piano 1 Piano 2 Piano 3
06:21,116 St.,732.2771995002279,00:12,18,Piano 1 Piano 2 Piano 3 Piano 4
06:33,125 St.,802.0965607617765,00:13,20,Piano 1 Piano 2 Piano 3 Piano 4
06:46,135 St.,1230.359095960762,00:20,31,Piano 1 Piano 2 Piano 3 Piano 4
07:06,149 St.-Grand Concourse,845.8092332247843,00:14,21,Piano 1
07:20,3 Ave.-149 St.,850.7003833395573,00:14,21,Piano 1
07:34,Jackson Ave.,596.0448218185564,00:10,15,Piano 1 Piano 2
07:44,Prospect Ave.,507.0291867017754,00:08,13,Piano 1 Piano 2
07:52,Intervale Ave.,385.7224917670411,00:06,10,Piano 1
07:58,Simpson St.,655.4277204041637,00:10,16,Piano 1
08:08,Freeman St.,867.7251018816872,00:14,22,Piano 1
08:22,174 St.,785.1565963735183,00:13,20,Piano 1
08:35,West Farms Square-E Tremont Ave.,548.7978112393484,00:09,14,Piano 1
08:44,E 180 St.,939.8051811544757,00:15,23,Piano 1
08:59,Bronx Park East,991.6589900534022,00:16,25,Piano 1 Piano 2
09:15,Pelham Parkway,826.5830813550908,00:14,21,Piano 1 Piano 2 Piano 3
09:29,Allerton Ave.,640.2318727216604,00:10,16,Piano 1 Piano 2 Piano 3
09:39,Burke Ave.,733.4399276738249,00:12,18,Piano 1 Piano 2 Piano 3
09:51,Gun Hill Rd.,692.7019022512101,00:11,17,Piano 1 Piano 2
10:02,219 St.,507.5873189910504,00:08,13,Piano 1 Piano 2
10:10,225 St.,688.8656577420211,00:11,17,Piano 1 Piano 2
10:21,233 St.,604.9263176953954,00:10,15,Piano 1 Piano 2 Piano 3
10:31,Nereid Ave.,674.5444234041032,00:11,17,Piano 1 Piano 2 Piano 3
10:42,Wakefield-241 St.,0,00:00,0,Piano 1 Piano 2
