Name	Type	Price	File	Gain Min	Gain Max	Borough	Pattern 1	Pattern 2	Pattern 3	Beats	Active
Piano 1	Piano	5000	rhapsody_piano_01.wav	0.1	2	Any	0	-1	-1	1	1
Piano 1	Piano	5000	rhapsody_piano_02.wav	0.1	2	Any	2	-1	-1	1	1
Piano 1	Piano	5000	rhapsody_piano_03.wav	0.1	2	Any	1	-1	-1	1	1
French Horn	Brass	2000		0.5	0.5	Any	0	-1	-1	1	0
Saxaphone	Wind	2000		0.5	0.5	Any	0	-1	-1	1	0
Bass	String	2000	blown_cello_01.wav	0.1	0.7	Any	0	-1	-1	1	1
Trumpet	Brass	1000	nocturne_horn_02.wav	0.1	2	Any	0,2	-1	-1	1	1
Clarinet	Wind	1000	rhapsody_clarinet_01.wav	0.1	2	Any	0,2	-1	-1	1	1
Violin	String	1000		0.5	0.5	Any	0	-1	-1	1	0
Keyboard	Piano	800		0.5	0.5	Any	0	-1	-1	1	0
Flute	Wind	800		0.5	0.5	Any	0	-1	-1	1	0
Electric Guitar 3	Guitar	600		0.5	0.5	Any	0	-1	-1	1	0
Electric Guitar 4	Guitar	600		0.5	0.5	Any	8	-1	-1	1	0
Bass Guitar 1	Guitar	600	blown_bass_01.wav	0.1	0.7	Any	0,2	-1	-1	1	1
Bass Guitar 2	Guitar	600	blown_bass_02.wav	0.1	0.7	Any	0,2	-1	-1	1	1
Synthesizer	Electronic	500		0.5	0.5	Any	0	-1	-1	1	0
Bass Drum	Percussion	400		0.5	0.5	Any	0	-1	-1	1	0
Acoustic Guitar	Guitar	400		0.5	0.5	Any	0	-1	-1	1	0
Banjo	Guitar	400		0.5	0.5	Any	0	-1	-1	1	0
Snare Drum	Percussion	300		0.5	0.5	Any	0	-1	-1	1	0
Cymbal	Percussion	200	l_train_cymbal_01.wav	0.1	1	Any	0,2	-1	-1	1	1
Drum Machine	Percussion	200		0.5	0.5	Any	0	-1	-1	1	0
Bongos	Percussion	100		0.5	0.5	Any	0	-1	-1	1	0
Chimes	Percussion	100		0.5	0.5	Any	0	-1	-1	1	0
Harmonica	Wind	60		0.5	0.5	Any	0	-1	-1	1	0
Tambourine	Percussion	50		0.5	0.5	Any	0	-1	-1	1	0
Cowbell	Percussion	50		0.5	0.5	Any	0	-1	-1	1	0
Maracas	Percussion	30		0.5	0.5	Any	0	-1	-1	1	0
Shakers	Percussion	20		0.5	0.5	Any	0	-1	-1	1	0
Blocks	Percussion	20		0.5	0.5	Any	0	-1	-1	1	0
Hands	Percussion	0		0.5	0.5	Any	0	-1	-1	1	0
Voice 1	Wind	0	diner_vocals_02.wav	0.5	0.5	Any	0	-1	-1	2	1
Voice 1	Wind	0	diner_vocals_03.wav	0.5	0.5	Any	2	-1	-1	2	1
Voice 1	Wind	0	diner_vocals_05.wav	0.5	0.5	Any	4	-1	-1	2	1
Voice 2	Wind	0	diner_vocals_02.wav	0.5	0.5	Any	4	2	-1	2	1
Voice 2	Wind	0	diner_vocals_03.wav	0.5	0.5	Any	6	-1	-1	2	1
Voice 2	Wind	0	diner_vocals_05.wav	0.5	0.5	Any	0	-1	-1	2	1
Voice 3	Wind	0	diner_vocals_02.wav	0.5	0.5	Any	0	-1	-1	2	1
Voice 3	Wind	0	diner_vocals_03.wav	0.5	0.5	Any	2,6	2	-1	2	1
