Station Name	Median Income 2011	Month After Tax	Latitude	Longitude	Borough
Flatbush Ave.-Brooklyn College	$37,073.00	$1,853.65	40.63275	-73.947375	Brooklyn
Newkirk Ave.	$40,096.00	$2,004.80	40.639924	-73.948161	Brooklyn
Beverly Rd.	$34,019.00	$1,700.95	40.645046	-73.948684	Brooklyn
Church Ave.	$33,816.00	$1,690.80	40.650748	-73.949384	Brooklyn
Winthrop St.	$44,444.00	$2,222.20	40.657184	-73.949976	Brooklyn
Sterling St.	$37,239.00	$1,861.95	40.663226	-73.95067	Brooklyn
President St.	$36,607.00	$1,830.35	40.668145	-73.950458	Brooklyn
Franklin Ave.	$35,233.00	$1,761.65	40.670732	-73.957696	Brooklyn
Eastern Parkway-Brooklyn Museum	$59,617.00	$2,980.85	40.672122	-73.964154	Brooklyn
Grand Army Plaza	$109,329.00	$5,466.45	40.67511	-73.970822	Brooklyn
Bergen St.	$88,036.00	$4,401.80	40.680695	-73.974748	Brooklyn
Atlantic Ave.-Barclays Center	$87,875.00	$4,393.75	40.683928	-73.978412	Brooklyn
Nevins St.	$83,688.00	$4,184.40	40.688085	-73.980243	Brooklyn
Hoyt St.	$66,023.00	$3,301.15	40.690931	-73.98525	Brooklyn
Borough Hall	$79,231.00	$3,961.55	40.692548	-73.990099	Brooklyn
Clark St.	$91,250.00	$4,562.50	40.697649	-73.99306	Brooklyn
Wall St.	$125,124.00	$6,256.20	40.707431	-74.008778	Manhattan
Fulton St.	$114,412.00	$5,720.60	40.711026	-74.00919	Manhattan
Park Place	$205,192.00	$10,259.60	40.712712	-74.007766	Manhattan
Chambers St.	$205,192.00	$10,259.60	40.715576	-74.009031	Manhattan
14 St.-7 Ave.	$94,292.00	$4,714.60	40.737826	-74.000201	Manhattan
34 St.-Penn Station	$155,278.00	$7,763.90	40.75102	-73.990323	Manhattan
Times Square-42 St.	$118,487.00	$5,924.35	40.754301	-73.986623	Manhattan
72 St.	$115,833.00	$5,791.65	40.779146	-73.981822	Manhattan
96 St.	$75,481.00	$3,774.05	40.794312	-73.972015	Manhattan
Central Park North (110 St.)	$39,338.00	$1,966.90	40.799033	-73.952058	Manhattan
116 St.	$55,469.00	$2,773.45	40.802111	-73.949437	Manhattan
125 St.	$64,286.00	$3,214.30	40.807875	-73.945229	Manhattan
135 St.	$55,591.00	$2,779.55	40.814188	-73.940618	Manhattan
149 St.-Grand Concourse	$16,580.00	$829.00	40.818405	-73.927101	Bronx
3 Ave.-149 St.	$23,670.00	$1,183.50	40.816265	-73.917456	Bronx
Jackson Ave.	$28,770.00	$1,438.50	40.816873	-73.907379	Bronx
Prospect Ave.	$26,250.00	$1,312.50	40.819684	-73.901348	Bronx
Intervale Ave.	$17,723.00	$886.15	40.8224	-73.896508	Bronx
Simpson St.	$14,940.00	$747.00	40.824358	-73.892724	Bronx
Freeman St.	$17,614.00	$880.70	40.830177	-73.891482	Bronx
174 St.	$18,261.00	$913.05	40.837306	-73.887287	Bronx
West Farms Square-E Tremont Ave.	$14,191.00	$709.55	40.841078	-73.879397	Bronx
E 180 St.	$13,750.00	$687.50	40.841453	-73.872892	Bronx
Bronx Park East	$34,375.00	$1,718.75	40.849128	-73.868213	Bronx
Pelham Parkway	$39,609.00	$1,980.45	40.858029	-73.867481	Bronx
Allerton Ave.	$39,609.00	$1,980.45	40.865462	-73.867352	Bronx
Burke Ave.	$39,611.00	$1,980.55	40.871215	-73.867043	Bronx
Gun Hill Rd.	$36,786.00	$1,839.30	40.877779	-73.866185	Bronx
219 St.	$34,010.00	$1,700.50	40.883439	-73.862743	Bronx
225 St.	$37,885.00	$1,894.25	40.88766	-73.860444	Bronx
233 St.	$47,861.00	$2,393.05	40.89337	-73.857265	Bronx
Nereid Ave.	$42,880.00	$2,144.00	40.898323	-73.854288	Bronx
Wakefield-241 St.	$38,261.00	$1,913.05	40.903509	-73.850124	Bronx
