A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.   
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2012-01-01 00:00,2012,1,1,0,303,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 01:00,2012,1,1,1,215,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 02:00,2012,1,1,2,222,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 03:00,2012,1,1,3,85,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 04:00,2012,1,1,4,38,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 05:00,2012,1,1,5,23,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 06:00,2012,1,1,6,19,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 07:00,2012,1,1,7,14,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 08:00,2012,1,1,8,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 09:00,2012,1,1,9,21,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 10:00,2012,1,1,10,22,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 11:00,2012,1,1,11,22,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 12:00,2012,1,1,12,17,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 13:00,2012,1,1,13,22,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 14:00,2012,1,1,14,29,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 15:00,2012,1,1,15,39,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 16:00,2012,1,1,16,42,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 17:00,2012,1,1,17,55,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 18:00,2012,1,1,18,55,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 19:00,2012,1,1,19,72,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 20:00,2012,1,1,20,81,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 21:00,2012,1,1,21,80,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 22:00,2012,1,1,22,128,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-01 23:00,2012,1,1,23,114,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 00:00,2012,1,2,0,97,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 01:00,2012,1,2,1,79,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 02:00,2012,1,2,2,88,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 03:00,2012,1,2,3,87,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 04:00,2012,1,2,4,98,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 05:00,2012,1,2,5,99,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 06:00,2012,1,2,6,100,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 07:00,2012,1,2,7,104,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 08:00,2012,1,2,8,131,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 09:00,2012,1,2,9,134,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 10:00,2012,1,2,10,169,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 11:00,2012,1,2,11,133,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 12:00,2012,1,2,12,39,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 13:00,2012,1,2,13,12,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 14:00,2012,1,2,14,19,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 15:00,2012,1,2,15,14,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 16:00,2012,1,2,16,13,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 17:00,2012,1,2,17,13,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 18:00,2012,1,2,18,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 19:00,2012,1,2,19,8,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 20:00,2012,1,2,20,10,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 21:00,2012,1,2,21,27,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 22:00,2012,1,2,22,18,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-02 23:00,2012,1,2,23,14,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 00:00,2012,1,3,0,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 01:00,2012,1,3,1,17,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 02:00,2012,1,3,2,11,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 03:00,2012,1,3,3,11,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 04:00,2012,1,3,4,12,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 05:00,2012,1,3,5,15,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 06:00,2012,1,3,6,17,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 07:00,2012,1,3,7,14,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 08:00,2012,1,3,8,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 09:00,2012,1,3,9,18,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 10:00,2012,1,3,10,24,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 11:00,2012,1,3,11,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 12:00,2012,1,3,12,18,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 13:00,2012,1,3,13,13,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 14:00,2012,1,3,14,23,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 15:00,2012,1,3,15,13,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 16:00,2012,1,3,16,11,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 17:00,2012,1,3,17,8,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 18:00,2012,1,3,18,19,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 19:00,2012,1,3,19,11,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 20:00,2012,1,3,20,12,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 21:00,2012,1,3,21,10,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 22:00,2012,1,3,22,16,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-03 23:00,2012,1,3,23,14,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2012-01-04 00:00,2012,1,4,0,13,µg/mg³,1 Hr,Valid
