A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html. 
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2013-01-01 00:00,2013,1,1,0,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 01:00,2013,1,1,1,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 02:00,2013,1,1,2,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 03:00,2013,1,1,3,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 04:00,2013,1,1,4,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 05:00,2013,1,1,5,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 06:00,2013,1,1,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 07:00,2013,1,1,7,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 08:00,2013,1,1,8,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 09:00,2013,1,1,9,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 10:00,2013,1,1,10,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 11:00,2013,1,1,11,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 12:00,2013,1,1,12,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 13:00,2013,1,1,13,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 14:00,2013,1,1,14,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 15:00,2013,1,1,15,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 16:00,2013,1,1,16,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 17:00,2013,1,1,17,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 18:00,2013,1,1,18,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 19:00,2013,1,1,19,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 20:00,2013,1,1,20,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 21:00,2013,1,1,21,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 22:00,2013,1,1,22,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-01 23:00,2013,1,1,23,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 00:00,2013,1,2,0,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 01:00,2013,1,2,1,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 02:00,2013,1,2,2,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 03:00,2013,1,2,3,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 04:00,2013,1,2,4,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 05:00,2013,1,2,5,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 06:00,2013,1,2,6,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 07:00,2013,1,2,7,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 08:00,2013,1,2,8,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 09:00,2013,1,2,9,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 10:00,2013,1,2,10,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 11:00,2013,1,2,11,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 12:00,2013,1,2,12,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 13:00,2013,1,2,13,20,µg/m³,1 Hr,Valid
