year_start,year_end,image
1932,1956,map_layer_1932.png
1956,1973,map_layer_1956.png
1973,1975,map_layer_1973.png
1975,1977,map_layer_1975.png
1977,1985,map_layer_1977.png
1985,1988,map_layer_1985.png
1988,1990,map_layer_1988.png
1990,1995,map_layer_1990.png
1995,1998,map_layer_1995.png
1998,1999,map_layer_1998.png
1999,2002,map_layer_1999.png
2002,2004,map_layer_2002.png
2004,2006,map_layer_2004.png
2006,2008,map_layer_2006.png
2008,2009,map_layer_2008.png
2009,2010,map_layer_2009.png
