artist,song,album,url,score
The Beatles,Devil In Her Heart,With The Beatles,http://genius.com/The-beatles-devil-in-her-heart-lyrics,7
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,http://genius.com/The-beatles-sgt-peppers-lonely-hearts-club-band-lyrics,5
The Beatles,Lucy In The Sky With Diamonds,Sgt. Pepper's Lonely Hearts Club Band,http://genius.com/The-beatles-lucy-in-the-sky-with-diamonds-lyrics,5
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,http://genius.com/The-beatles-sgt-peppers-lonely-hearts-club-band-reprise-lyrics,5
The Beatles,Tell Me What You See,Help!,http://genius.com/The-beatles-tell-me-what-you-see-lyrics,4
The Beatles,It's All Too Much,Yellow Submarine,http://genius.com/The-beatles-its-all-too-much-lyrics,3
The Beatles,What Goes On,Rubber Soul,http://genius.com/The-beatles-what-goes-on-lyrics,3
The Beatles,Wait,Rubber Soul,http://genius.com/The-beatles-wait-lyrics,3
The Beatles,Run for Your Life,Rubber Soul,http://genius.com/The-beatles-run-for-your-life-lyrics,3
The Beatles,For No One,Revolver,http://genius.com/The-beatles-for-no-one-lyrics,3
The Beatles,Tell Me Why,A Hard Day's Night,http://genius.com/The-beatles-tell-me-why-lyrics,3
The Beatles,I'll Be Back,A Hard Day's Night,http://genius.com/The-beatles-ill-be-back-lyrics,3
The Beatles,Ob-La-Di Ob-La-Da,The Beatles (The White Album),http://genius.com/The-beatles-ob-la-di-ob-la-da-lyrics,3
The Beatles,It Won't Be Long,With The Beatles,http://genius.com/The-beatles-it-wont-be-long-lyrics,2
The Beatles,A Day In The Life,Sgt. Pepper's Lonely Hearts Club Band,http://genius.com/The-beatles-a-day-in-the-life-lyrics,2
The Beatles,I'm Only Sleeping,Revolver,http://genius.com/The-beatles-im-only-sleeping-lyrics,2
The Beatles,Please Please Me,Please Please Me,http://genius.com/The-beatles-please-please-me-lyrics,2
The Beatles,Baby It's You,Please Please Me,http://genius.com/The-beatles-baby-its-you-lyrics,2
