,Census,Hollywood,Difference
White Males,30.601479398134824,58.95522388059702,28.353744482462194
African American/Black Males,6.174834226798359,5.223880597014925,-0.9509536297834345
Males of Hispanic Origin,8.831131905421117,1.6791044776119404,-7.152027427809177
Asian and Pacific Islander Males,2.9803934363267377,2.2388059701492535,-0.7415874661774842
American Indian and Alaska Native Males,0.6289489993360587,0.5597014925373134,-0.06924750679874536
White Females,31.5096930115496,24.813432835820894,-6.696260175728707
African American/Black Females,6.740305935495819,1.8656716417910446,-4.874634293704775
Females of Hispanic Origin,8.635781362191167,4.104477611940299,-4.531303750250869
Asian and Pacific Islander Females,3.2369746618840756,0.18656716417910446,-3.0504074977049713
American Indian and Alaska Native Females,0.660457062862243,0.3731343283582089,-0.2873227345040341
