file,poc,gender,race,min_gender,max_gender,min_poc,max_poc,from_gain,to_gain,from_tempo,to_tempo,tempo_offset,interval_phase,interval,interval_offset,active
mff_events_in_dense_fog_a2_piano_short.wav,0,m,w,-1,-1,-1,-1,1,1,1,1,0,5,3,0,1
mff_events_in_dense_fog_a3_piano_short.wav,0,m,w,-1,-1,-1,-1,1,1,1,1,0,5,3,1,1
mff_events_in_dense_fog_a4_piano_short.wav,0,m,w,-1,-1,-1,-1,1,1,1,1,0,5,3,2,1
mff_events_in_dense_fog_a1_keyboard_piano.wav,0,f,w,-1,-1,-1,-1,1,1,1,1,0,1,5,0,1
mff_events_in_dense_fog_a1_keyboard.wav,0,f,w,-1,-1,-1,-1,1,1,1,1,0,1,5,1,1
mff_events_in_dense_fog_a2_keyboard.wav,0,f,w,-1,-1,-1,-1,1,1,1,1,0,1,5,2,1
mff_events_in_dense_fog_a3_keyboard_eerie.wav,0,f,w,-1,-1,-1,-1,1,1,1,1,0,1,5,3,1
mff_events_in_dense_fog_a3_keyboard_rvb.wav,0,f,w,-1,-1,-1,-1,1,1,1,1,0,1,5,4,1
mff_from_the_same_hill_guitar_a1_phrase.wav,1,m,b,-1,-1,-1,-1,1,1,1,1,0,1,2,0,1
mff_from_the_same_hill_guitar_a1_twang.wav,1,m,b,-1,-1,-1,-1,1,1,1,1,0,1,2,1,1
mff_from_the_same_hill_guitar_a2_phrase.wav,1,m,h,-1,-1,-1,-1,1,1,1,1,0,1,1,0,1
mff_from_the_same_hill_guitar_a2.wav,1,m,"a,o",-1,-1,-1,-1,1,1,1,1,0,1,1,0,1
mff_from_the_same_hill_guitar_a3_phrase.wav,1,f,b,-1,-1,-1,-1,1,1,1,1,0,1,2,0,1
mff_from_the_same_hill_guitar_a3.wav,1,f,b,-1,-1,-1,-1,1,1,1,1,0,1,2,1,1
mff_from_the_same_hill_guitar_a4_phrase.wav,1,f,h,-1,-1,-1,-1,1,1,1,1,0,1,1,0,1
mff_from_the_same_hill_guitar_a4.wav,1,f,"a,o",-1,-1,-1,-1,1,1,1,1,0,1,1,0,1
mff_from_the_same_hill_bg_1.wav,-1,any,any,0,2,0,0.1,1,1,0.2,0.2,0,5,3,0,1
mff_from_the_same_hill_bg_2.wav,-1,any,any,0,2,0,0.1,1,1,0.2,0.2,0,5,3,1,1
mff_from_the_same_hill_bg_3.wav,-1,any,any,0,2,0,0.1,1,1,0.2,0.2,0,5,3,2,1
mff_events_in_dense_fog_strings1.wav,-1,any,any,0,2,0.1,0.3,1,1,0.2,0.2,0,5,4,0,1
mff_events_in_dense_fog_strings2.wav,-1,any,any,0,2,0.1,0.3,1,1,0.2,0.2,0,5,4,1,1
mff_events_in_dense_fog_strings3.wav,-1,any,any,0,2,0.1,0.3,1,1,0.2,0.2,0,5,4,2,1
mff_events_in_dense_fog_strings4.wav,-1,any,any,0,2,0.1,0.3,1,1,0.2,0.2,0,5,4,3,1
mff_final_sunset_1.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,0,1
mff_final_sunset_2.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,1,1
mff_final_sunset_3.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,2,1
mff_final_sunset_4.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,3,1
mff_final_sunset_5.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,4,1
mff_final_sunset_6.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,5,1
mff_final_sunset_7.wav,-1,any,any,0,2,0.3,2,1,1,1/15,1/15,0,15,7,6,1
