order,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,poc,note,reference_url,voice,race_reflected
493,369610,Jurassic World,Masrani,3,Irrfan Khan,451234,http://s3.amazonaws.com/brianfoo_art/hollywood/451234.jpg,m,a,1,Indian,http://www.imdb.com/name/nm0451234/bio,0,-1
125,441773,Kung Fu Panda,Monkey,5,Jackie Chan,329,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/329.jpg,m,a,1,Chinese/Hong Kong,https://en.wikipedia.org/wiki/Jackie_Chan,1,0
405,2245084,Big Hero 6,Go Go,5,Jamie Chung,1512166,http://s3.amazonaws.com/brianfoo_art/hollywood/1512166.jpg,f,a,1,Korean,http://www.imdb.com/name/nm1512166/bio,1,1
177,1049413,Up,Russell,2,Jordan Nagai,2973712,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2973712.jpg,m,a,1,Japanese American,http://www.asianweek.com/2009/05/28/pixar-is-moving-up/,1,1
285,1411697,The Hangover Part II,Mr. Chow,5,Ken Jeong,421822,http://s3.amazonaws.com/brianfoo_art/hollywood/421822.jpg,m,a,1,Korean,http://www.imdb.com/name/nm0421822/bio,0,-1
225,1375666,Inception,Saito,5,Ken Watanabe,913822,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/913822.jpg,m,a,1,Japanese,http://www.imdb.com/name/nm0913822/bio,0,-1
370,1453405,Monsters University,Squishy,5,Peter Sohn,812307,http://s3.amazonaws.com/brianfoo_art/hollywood/812307.jpg,m,a,1,Korean,https://en.wikipedia.org/wiki/Peter_Sohn#Life_and_career,1,0
375,1454468,Gravity,Shariff,5,Phaldut Sharma,2060857,http://s3.amazonaws.com/brianfoo_art/hollywood/2060857.jpg,m,a,1,Indian,http://www.telegraphindia.com/1131029/jsp/t2/story_17504261.jsp#.Vo3TsfkrL4Y,1,0
45,477347,Night at the Museum,Reginald,5,Bill Cobbs,167850,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/167850.jpg,m,b,1,,https://en.wikipedia.org/wiki/Bill_Cobbs,0,-1
112,479952,Madagascar: Escape 2 Africa,Marty,2,Chris Rock,1674,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1674.jpg,m,b,1,,https://en.wikipedia.org/wiki/Chris_Rock#Personal_life,1,0
302,1277953,Madagascar 3: Europe's Most Wanted,Marty,2,Chris Rock,1674,http://s3.amazonaws.com/brianfoo_art/hollywood/1674.jpg,m,b,1,,https://en.wikipedia.org/wiki/Chris_Rock#Personal_life,1,0
180,1049413,Up,Beta,5,Delroy Lindo,5148,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5148.jpg,m,b,1,Jamaican,http://www.imdb.com/name/nm0005148/bio,1,0
238,1228705,Iron Man 2,Lt. Col. James 'Rhodey' Rhodes,3,Don Cheadle,332,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/332.jpg,m,b,1,,http://www.pbs.org/wnet/aalives/profiles/cheadle.html,0,-1
393,1300854,Iron Man 3,Colonel James Rhodes,3,Don Cheadle,332,http://s3.amazonaws.com/brianfoo_art/hollywood/332.jpg,m,b,1,,http://www.pbs.org/wnet/aalives/profiles/cheadle.html,0,-1
