movie_id,movie_name,movie_imdb_id,role,order,name,imdb_id,img,gender,races,note,reference_url,voice
1,Thor,800369,cast,1,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0
1,Thor,800369,cast,2,Natalie Portman,204,http://s3.amazonaws.com/brianfoo_art/hollywood/204.jpg,f,w,"Ashkenazi Jewish, Polish, Romanian, Austrian, Russian, Lithuanian",http://www.imdb.com/name/nm0000204/bio,0
1,Thor,800369,cast,3,Tom Hiddleston,1089991,http://s3.amazonaws.com/brianfoo_art/hollywood/1089991.jpg,m,w,"His father is Scottish. His mother is English, and has English, Welsh, and German ancestry.",http://www.imdb.com/name/nm1089991/bio,0
1,Thor,800369,cast,4,Anthony Hopkins,164,http://s3.amazonaws.com/brianfoo_art/hollywood/164.jpg,m,w,half Welsh and half English,http://www.imdb.com/name/nm0000164/bio,0
1,Thor,800369,cast,5,Stellan Skarsgård,1745,http://s3.amazonaws.com/brianfoo_art/hollywood/1745.jpg,m,w,Swedish,http://www.imdb.com/name/nm0001745/bio,0
2,Sherlock Holmes: A Game of Shadows,1515091,cast,1,Robert Downey Jr.,375,http://s3.amazonaws.com/brianfoo_art/hollywood/375.jpg,m,w,"Robert's father is of half Lithuanian Jewish, one quarter Hungarian Jewish, and one quarter Irish, descent, while Robert's mother was of English, Scottish, German, and Swiss-German",http://www.imdb.com/name/nm0000375/bio,0
2,Sherlock Holmes: A Game of Shadows,1515091,cast,2,Jude Law,179,http://s3.amazonaws.com/brianfoo_art/hollywood/179.jpg,m,w,"English, Scottish",http://www.imdb.com/name/nm0000179/bio,0
2,Sherlock Holmes: A Game of Shadows,1515091,cast,3,Noomi Rapace,636426,http://s3.amazonaws.com/brianfoo_art/hollywood/636426.jpg,f,"w,h","half Spanish, half Swedish",http://www.imdb.com/name/nm0636426/bio,0
2,Sherlock Holmes: A Game of Shadows,1515091,cast,4,Rachel McAdams,1046097,http://s3.amazonaws.com/brianfoo_art/hollywood/1046097.jpg,f,w,"English, Welsh, Irish, and Scottish",http://www.imdb.com/name/nm1046097/bio,0
2,Sherlock Holmes: A Game of Shadows,1515091,cast,5,Jared Harris,364813,http://s3.amazonaws.com/brianfoo_art/hollywood/364813.jpg,m,w,"Irish, Welsh",http://www.imdb.com/name/nm0364813/bio,0
3,Cars 2,1216475,cast,1,Larry Guy the Cable,1249256,http://s3.amazonaws.com/brianfoo_art/hollywood/1249256.jpg,m,w,,,1
3,Cars 2,1216475,cast,2,Owen Wilson,5562,http://s3.amazonaws.com/brianfoo_art/hollywood/5562.jpg,m,w,Irish-American,http://www.imdb.com/name/nm0005562/bio,1
3,Cars 2,1216475,cast,3,Michael Caine,323,http://s3.amazonaws.com/brianfoo_art/hollywood/323.jpg,m,w,"His father had English, Irish, and, reportedly, gypsy ancestry",https://en.wikipedia.org/wiki/Michael_Caine#Early_life,1
3,Cars 2,1216475,cast,4,Emily Mortimer,607865,http://s3.amazonaws.com/brianfoo_art/hollywood/607865.jpg,f,w,,,1
3,Cars 2,1216475,cast,5,Eddie Izzard,412850,http://s3.amazonaws.com/brianfoo_art/hollywood/412850.jpg,m,w,English,https://en.wikipedia.org/wiki/Eddie_Izzard#Early_life,1
4,Mission: Impossible - Ghost Protocol,1229238,cast,1,Tom Cruise,129,http://s3.amazonaws.com/brianfoo_art/hollywood/129.jpg,m,w,"Irish, German, and English",http://www.imdb.com/name/nm0000129/bio,0
4,Mission: Impossible - Ghost Protocol,1229238,cast,2,Paula Patton,1745736,http://s3.amazonaws.com/brianfoo_art/hollywood/1745736.jpg,f,"w,b","Her father is African-American and her mother, who is caucasian, has German, English, and Dutch ancestry",http://www.imdb.com/name/nm1745736/bio,0
4,Mission: Impossible - Ghost Protocol,1229238,cast,3,Simon Pegg,670408,http://s3.amazonaws.com/brianfoo_art/hollywood/670408.jpg,m,w,,,0
4,Mission: Impossible - Ghost Protocol,1229238,cast,4,Jeremy Renner,719637,http://s3.amazonaws.com/brianfoo_art/hollywood/719637.jpg,m,w," German, English, Scottish, Irish, and Swedish; some of his forebears also lived in Panama",http://www.imdb.com/name/nm0719637/bio,0
4,Mission: Impossible - Ghost Protocol,1229238,cast,5,Michael Nyqvist,638824,http://s3.amazonaws.com/brianfoo_art/hollywood/638824.jpg,m,w,"Swedish, Italian",http://www.imdb.com/name/nm0638824/bio,0
5,Fast Five,1596343,cast,1,Vin Diesel,4874,http://s3.amazonaws.com/brianfoo_art/hollywood/4874.jpg,m,"w,b","Mother is English, German, Scottish, and Irish. Biological father's race not publicly known. Diesel identifies as person of color. Some sources say his biological father was African-American ",http://ethnicelebs.com/vin-diesel,0
5,Fast Five,1596343,cast,2,Paul Walker,908094,http://s3.amazonaws.com/brianfoo_art/hollywood/908094.jpg,m,w,English and German,http://www.imdb.com/name/nm0908094/bio,0
5,Fast Five,1596343,cast,3,Jordana Brewster,108287,http://s3.amazonaws.com/brianfoo_art/hollywood/108287.jpg,f,"w,h",Mother is Brazilian; Father is English and Scottish; technically not hispanic; identifies as Latina,http://www.huffingtonpost.com/2012/06/13/dallas-star-jordana-brewster_n_1595303.html,0
5,Fast Five,1596343,cast,4,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,,http://www.imdb.com/name/nm0879085/awards,0
5,Fast Five,1596343,cast,5,Ludacris,524839,http://s3.amazonaws.com/brianfoo_art/hollywood/524839.jpg,m,"b,b,w,o","African-American, English, Jewish, and Native American ancestry",https://en.wikipedia.org/wiki/Ludacris#Early_life,0
6,Pirates of the Caribbean: On Stranger Tides,1298650,cast,1,Johnny Depp,136,http://s3.amazonaws.com/brianfoo_art/hollywood/136.jpg,m,w,"English, as well as Irish, Scots-Irish, Scottish, Welsh, French, Dutch, Belgian (Flemish), and German",http://www.imdb.com/name/nm0000136/bio,0
6,Pirates of the Caribbean: On Stranger Tides,1298650,cast,2,Penélope Cruz,4851,http://s3.amazonaws.com/brianfoo_art/hollywood/4851.jpg,f,h,Spanish,http://www.imdb.com/name/nm0004851/bio,0
6,Pirates of the Caribbean: On Stranger Tides,1298650,cast,3,Geoffrey Rush,1691,http://s3.amazonaws.com/brianfoo_art/hollywood/1691.jpg,m,w,"His mother was of German descent and his father had English, Irish, and Scottish ancestry",http://www.imdb.com/name/nm0001691/bio,0
6,Pirates of the Caribbean: On Stranger Tides,1298650,cast,4,Ian McShane,574534,http://s3.amazonaws.com/brianfoo_art/hollywood/574534.jpg,m,w,His father was Scottish and his mother was of English and Irish descent,http://www.imdb.com/name/nm0574534/bio,0
6,Pirates of the Caribbean: On Stranger Tides,1298650,cast,5,Kevin McNally,573618,http://s3.amazonaws.com/brianfoo_art/hollywood/573618.jpg,m,w,English,http://www.imdb.com/name/nm0573618/bio,0
7,The Hangover Part II,1411697,cast,1,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/177896.jpg,m,w,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,0
7,The Hangover Part II,1411697,cast,2,Ed Helms,1159180,http://s3.amazonaws.com/brianfoo_art/hollywood/1159180.jpg,m,w,"English, as well as smaller amounts of Scots-Irish (Northern Irish), German, Dutch, and French",http://www.imdb.com/name/nm1159180/bio,0
7,The Hangover Part II,1411697,cast,3,Zach Galifianakis,302108,http://s3.amazonaws.com/brianfoo_art/hollywood/302108.jpg,m,w,His father is of Greek descent and his mother is of mostly English and Scottish ancestry,http://www.imdb.com/name/nm0302108/bio,0
7,The Hangover Part II,1411697,cast,4,Justin Bartha,58581,http://s3.amazonaws.com/brianfoo_art/hollywood/58581.jpg,m,w,"His parents are both from Jewish families (their families moved to the U.S. from Austria, Germany, Russia, and Poland)",http://www.imdb.com/name/nm0058581/bio,0
7,The Hangover Part II,1411697,cast,5,Ken Jeong,421822,http://s3.amazonaws.com/brianfoo_art/hollywood/421822.jpg,m,a,Korean,http://www.imdb.com/name/nm0421822/bio,0
8,The Twilight Saga: Breaking Dawn Part 1,1324999,cast,1,Kristen Stewart,829576,http://s3.amazonaws.com/brianfoo_art/hollywood/829576.jpg,f,w,,,0
8,The Twilight Saga: Breaking Dawn Part 1,1324999,cast,2,Robert Pattinson,1500155,http://s3.amazonaws.com/brianfoo_art/hollywood/1500155.jpg,m,w,,,0
8,The Twilight Saga: Breaking Dawn Part 1,1324999,cast,3,Taylor Lautner,1210124,http://s3.amazonaws.com/brianfoo_art/hollywood/1210124.jpg,m,w,"Austrian, English, German, Swiss-German, French, Irish, and Dutch",http://www.imdb.com/name/nm1210124/bio,0
8,The Twilight Saga: Breaking Dawn Part 1,1324999,cast,4,Billy Burke,121605,http://s3.amazonaws.com/brianfoo_art/hollywood/121605.jpg,m,w,,,0
8,The Twilight Saga: Breaking Dawn Part 1,1324999,cast,5,Peter Facinelli,4906,http://s3.amazonaws.com/brianfoo_art/hollywood/4906.jpg,m,w,Italian,http://www.imdb.com/name/nm0004906/bio,0
