Name	Type	File	Gain	Pattern	Beats	Active
Piano	Piano	piss_factory_piano_01.wav	0.5	0	2	0
French Horn	Brass		0.5	0	1	0
Saxaphone	Wind		0.5	0	1	0
Bass	String		0.5	0	1	0
Trumpet	Brass		0.5	0	1	0
Clarinet	Wind		0.5	0	1	0
Violin	String	1train_strings_01.wav	0.5	0	4	0
Keyboard	Piano		0.5	0	1	0
Flute	Wind		0.5	0	1	0
Electric Guitar 3	Guitar	nyc_guitar_03.wav	0.5	0	2	0
Electric Guitar 4	Guitar	nyc_guitar_04.wav	0.5	8	2	0
Bass Guitar	Guitar		0.5	0	1	0
Synthesizer	Electronic	1train_synth_01.wav	0.5	0	2	0
Bass Drum	Percussion	1train_kick_01.wav	0.5	0,4,8,20,30	4	1
Acoustic Guitar	Guitar	boxer_guitar_02.wav	0.5	0	1	0
Banjo	Guitar		0.5	0	1	0
Snare Drum	Percussion	1train_snare_01.wav	0.5	8,14,18,24	4	1
Cymbal	Percussion	1train_cymbal_01.wav	0.5	0,4	2	0
Drum Machine	Percussion	fulani_drum_01.wav	0.5	0	2	0
Bongos	Percussion		0.5	0	1	0
Chimes	Percussion		0.5	0	1	0
Harmonica	Wind	boxer_harmonica_02.wav	0.5	0	2	0
Tambourine	Percussion		0.5	0	1	0
Cowbell	Percussion		0.5	0	1	0
Maracas	Percussion		0.5	0	1	0
Shakers	Percussion		0.5	0	1	0
Blocks	Percussion		0.5	0	1	0
Hands	Percussion		0.5	0	1	0
Voice 1	Wind	fulani_vocals_01.wav	0.5	0	4	0
Voice 2	Wind	fulani_vocals_02.wav	0.5	16	4	0
